1f4a4	グーグー|zzz|いびき|おやすみ|マンガ|寝る|就寝中	ZZZ|comic|good|goodnight|night|sleep|sleeping|sleepy|tired|zzz
1f44b	手を振る|あいさつ|さようなら|バイバイ|ハロー|またね|手	waving hand|bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|outtie|ttfn|ttyl|wave|yo|you
1f44b-1f3fb	手を振る: 薄い肌色|あいさつ|さようなら|バイバイ|ハロー|またね|手|手を振る|薄い肌色	waving hand: light skin tone|bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|light skin tone|outtie|ttfn|ttyl|wave|yo|you
1f44b-1f3fc	手を振る: やや薄い肌色|あいさつ|さようなら|バイバイ|ハロー|またね|やや薄い肌色|手|手を振る	waving hand: medium-light skin tone|bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|medium-light skin tone|outtie|ttfn|ttyl|wave|yo|you
1f44b-1f3fd	手を振る: 中間の肌色|あいさつ|さようなら|バイバイ|ハロー|またね|中間の肌色|手|手を振る	waving hand: medium skin tone|bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|medium skin tone|outtie|ttfn|ttyl|wave|yo|you
1f44b-1f3fe	手を振る: やや濃い肌色|あいさつ|さようなら|バイバイ|ハロー|またね|やや濃い肌色|手|手を振る	waving hand: medium-dark skin tone|bye|cya|g2g|greetings|gtg|hand|hello|hey|hi|later|medium-dark skin tone|outtie|ttfn|ttyl|wave|yo|you
1f44b-1f3ff	手を振る: 濃い肌色|あいさつ|さようなら|バイバイ|ハロー|またね|手|手を振る|濃い肌色	waving hand: dark skin tone|bye|cya|dark skin tone|g2g|greetings|gtg|hand|hello|hey|hi|later|outtie|ttfn|ttyl|wave|yo|you
1f91a	手の甲|手	raised back of hand|back|backhand|hand|raised
1f91a-1f3fb	手の甲: 薄い肌色|手|手の甲|薄い肌色	raised back of hand: light skin tone|back|backhand|hand|light skin tone|raised
1f91a-1f3fc	手の甲: やや薄い肌色|やや薄い肌色|手|手の甲	raised back of hand: medium-light skin tone|back|backhand|hand|medium-light skin tone|raised
